Geography,Race Group,Percent Low Birthweight
Alameda,Non-White,7.39
Alameda,White,5.71
Alpine,Non-White,0.0
Alpine,White,0.0
Amador,Non-White,1.1907692307692308
Amador,White,6.445
Butte,Non-White,4.569999999999999
Butte,White,6.9
Calaveras,Non-White,0.9384615384615385
Calaveras,White,6.6
Colusa,Non-White,1.176923076923077
Colusa,White,7.41
Contra Costa,Non-White,7.843076923076923
Contra Costa,White,6.005
Del Norte,Non-White,2.8938461538461535
Del Norte,White,6.205
El Dorado,Non-White,5.2423076923076914
El Dorado,White,5.645
Fresno,Non-White,9.120000000000001
Fresno,White,7.125
Glenn,Non-White,0.7107692307692308
Glenn,White,5.16
Humboldt,Non-White,4.236153846153846
Humboldt,White,6.085
Imperial,Non-White,3.3153846153846156
Imperial,White,6.195
Inyo,Non-White,1.6723076923076923
Inyo,White,3.88
Kern,Non-White,7.240769230769231
Kern,White,6.79
Kings,Non-White,4.54
Kings,White,7.005
Lake,Non-White,2.8007692307692307
Lake,White,7.525
Lassen,Non-White,0.0
Lassen,White,8.145
Los Angeles,Non-White,8.97
Los Angeles,White,6.575
Madera,Non-White,6.952307692307692
Madera,White,5.995
Marin,Non-White,4.6899999999999995
Marin,White,4.875
Mariposa,Non-White,1.9230769230769231
Mariposa,White,7.494999999999999
Mendocino,Non-White,2.1715384615384616
Mendocino,White,6.279999999999999
Merced,Non-White,6.562307692307693
Merced,White,6.2
Modoc,Non-White,0.0
Modoc,White,10.309999999999999
Mono,Non-White,1.3723076923076922
Mono,White,7.15
Monterey,Non-White,5.437692307692307
Monterey,White,5.885
Napa,Non-White,2.5138461538461536
Napa,White,6.025
Nevada,Non-White,0.8553846153846153
Nevada,White,4.965
Orange,Non-White,6.813846153846153
Orange,White,6.199999999999999
Placer,Non-White,5.823076923076924
Placer,White,4.960000000000001
Plumas,Non-White,0.0
Plumas,White,8.495000000000001
Riverside,Non-White,7.91
Riverside,White,6.3
Sacramento,Non-White,8.583846153846155
Sacramento,White,5.68
San Benito,Non-White,1.836923076923077
San Benito,White,5.605
San Bernardino,Non-White,9.085384615384616
San Bernardino,White,7.369999999999999
San Diego,Non-White,7.346153846153846
San Diego,White,5.54
San Francisco,Non-White,8.69923076923077
San Francisco,White,5.734999999999999
San Joaquin,Non-White,8.175384615384615
San Joaquin,White,6.6899999999999995
San Luis Obispo,Non-White,3.9815384615384612
San Luis Obispo,White,6.494999999999999
San Mateo,Non-White,5.854615384615385
San Mateo,White,5.535
Santa Barbara,Non-White,5.696153846153846
Santa Barbara,White,6.23
Santa Clara,Non-White,6.806153846153847
Santa Clara,White,6.095000000000001
Santa Cruz,Non-White,4.302307692307692
Santa Cruz,White,5.720000000000001
Shasta,Non-White,6.794615384615384
Shasta,White,6.859999999999999
Sierra,Non-White,0.0
Sierra,White,0.0
Siskiyou,Non-White,2.2784615384615385
Siskiyou,White,8.465
Solano,Non-White,7.882307692307692
Solano,White,6.375
Sonoma,Non-White,5.506923076923077
Sonoma,White,5.285
Stanislaus,Non-White,6.672307692307692
Stanislaus,White,6.4399999999999995
Sutter,Non-White,5.3246153846153845
Sutter,White,6.055
Tehama,Non-White,1.7646153846153845
Tehama,White,6.789999999999999
Trinity,Non-White,0.0
Trinity,White,8.08
Tulare,Non-White,5.822307692307692
Tulare,White,6.825
Tuolumne,Non-White,2.4123076923076923
Tuolumne,White,6.92
Ventura,Non-White,4.868461538461538
Ventura,White,6.045
Yolo,Non-White,3.7584615384615385
Yolo,White,5.654999999999999
Yuba,Non-White,5.944615384615385
Yuba,White,6.595000000000001
