County Name,Arithmetic Mean
Alameda,6.981370571428571
Butte,1.3455088448275863
Calaveras,5.630351
Colusa,11.384635000000001
Contra Costa,8.2018255
Del Norte,1.0444561063829787
El Dorado,0.2481974069767442
Fresno,0.9392862795031055
Glenn,6.679587
Humboldt,11.7646524
Imperial,1.0070944615384616
Inyo,1.6188451000000001
Kern,0.8505033606557376
Kings,11.310520499999999
Los Angeles,1.0845901009174312
Madera,9.974812
Marin,0.4096202045454545
Mariposa,0.5304150833333333
Mendocino,9.48315
Merced,9.0451865
Mono,0.46510842553191484
Monterey,5.500215999999999
Nevada,6.016767000000001
Orange,0.7587061086956521
Placer,5.985837875
Plumas,1.350226113207547
Riverside,1.0937100723404254
Sacramento,1.007818861788618
San Benito,0.3640637045454545
San Bernardino,1.0288102340425531
San Diego,2.393243635802469
San Francisco,6.46863
San Joaquin,6.95072125
San Luis Obispo,4.8897525
San Mateo,4.5
Santa Barbara,0.665720875
Santa Clara,0.7249724492753623
Santa Cruz,5.3666845
Shasta,0.38019224390243905
Siskiyou,0.4589432045454545
Solano,6.1951905
Sonoma,5.065637
Stanislaus,0.8822610000000001
Sutter,8.521271500000001
Tehama,6.157944
Trinity,0.6747136222222222
Tulare,1.1723535463917525
Ventura,5.9090498333333334
Yolo,7.0676316
